Song Name,Artist,Key,Chords,Top,Key Guessed,Release Time
Tnt,Ac Dc,A,"E,Gm,G,A",True,True
Beast And The Harlot,Avenged Sevenfold,A,,True,True
Dream On,Aerosmith,A,,True,True
Love Me Two Times,Aerosmith,A,"A5,G,C,E,B,A,D",True,True
Down In A Hole,Alice In Chains,A,"C,G,F,D,Am,Dm",True,True
